gene_id,log2FoldChange,pvalue,padj
YOL029C,1.10854,0.0002450418,0.001322661
YOL052C-A,2.919658,5.769473e-06,5.275996e-05
YOL058W,1.461299,0.0001663362,0.0009553752
YOL070C,1.199752,3.979772e-10,1.112511e-08
YOL071W,1.371237,2.643379e-07,3.652778e-06
YOL077W-A,1.195396,3.868164e-06,3.741681e-05
YOL091W,1.162985,9.820753e-05,0.0006201831
YOL100W,1.043628,3.70657e-07,4.942634e-06
YOL112W,1.023636,2.642921e-08,4.92537e-07
YOL140W,1.000893,0.00134364,0.005562597
YOR003W,1.3186,1.285285e-06,1.437161e-05
YOR004W,1.178361,6.544426e-06,5.882261e-05
YOR017W,1.532347,2.892393e-24,5.875414e-22
YOR020C,1.590564,2.817074e-06,2.851703e-05
YOR027W,1.067395,1.242136e-07,1.91151e-06
YOR064C,1.589255,6.246424e-12,2.778519e-10
YOR078W,1.385729,1.343479e-08,2.64102e-07
